Protein Names	Common Names	Genes
GLUTS	GLU10 /GLUT11	SLC2A11
GLUTS	GLUT10	SLC2A1
GLUTS	GLUT3/ GLUT14	SLC2A14
GLUTS	GLUT4	SLC2A4
GLUTS	GLUT2	SLC2A2
GLUTS	GLUT9	SLC2A9
GLUTS	GLUT10	SLC2A10
GLUTS	GLUT5	SLC2A5
GLUTS	GLUT9	SLC2A6
GLUTS	GLUT8	SLC2A8
Kras	KRAS	KRAS
LKB1	LKB1	STK11
AMPK	AMPK2	PRKAA2
AMPK	AMPK1	PRKAA1
AMPK	AMPKγ1	PRKAG1
AMPK	AMPKγ2	PRKAG2
AMPK	AMPKb1	PRKAB1
AMPK	AMPKγ3	PRKAG3
AMPK	AMPKb2	PRKAB2
HK	HK1	HK1
HK	HK2	HK2
HK	GCK	GCK
HK	HK3	HK3
PFK	PFKM	PFKM
PFK	PFKL	PFKL
PFK	PFKP	PFKP
PK	PK	PKLR 
PK	PK	PKM
PK	PK	PKLR 
LDH	LDH	LDHB
LDH	LDH	LDHC
LDH	LDH	LDHA
MDH		MDH1
MDH		MDH2
c-Myc		MYC
AKT		AKT1
AKT		AKT2
AKT		AKT3
HIF1A		HIF1A
MTORC1		MTOR
P53		TP53
SREBP	SREBP1	SREBF1
SREBP	SREBP2	SREBF2
ACC	ACC2	ACACB
ACC	ACC1	ACACA
ACLY		ACLY
FASN		FASN
PDK		PDK1
PDK		PDK2
PDH		PDHA1
PDH		DLAT
PDH		PDHX
PDH		DLD
PDH		PDP1
PDH		PDP2
CS		CS
ACO		ACO2
IDH		IDH2
IDH		IDH1
IDH		IDH3G
IDH		IDH3A
IDH		IDH3B
SIRT		SIRT3
SIRT		SIRT2
SIRT		SIRT2
SIRT		SIRT1
OGDH		OGDH
SDH		SDHB
SDH		SDHA
SDH		SDHC
SDH		SDHD
SUCL		SUCLG1
SUCL		SUCLG2
FH		FH
PTEN		PTEN
PI3K		PIK3CA
